date,predicted_sales,lower_bound,upper_bound
2024-12-31,1613.07,1565.6,1660.54
2025-01-01,1567.66,1500.53,1634.8
2025-01-02,1557.83,1475.61,1640.05
2025-01-03,1322.35,1227.41,1417.29
2025-01-04,1360.3,1254.15,1466.45
2025-01-05,1312.35,1196.07,1428.62
2025-01-06,1247.02,1121.43,1372.62
2025-01-07,1207.16,1072.89,1341.43
2025-01-08,1199.59,1057.18,1342.0
2025-01-09,1227.7,1077.59,1377.81
2025-01-10,1247.9,1090.46,1405.34
2025-01-11,1308.18,1143.74,1472.62
2025-01-12,1281.1,1109.94,1452.25
2025-01-13,1215.9,1038.28,1393.52
2025-01-14,1182.33,998.48,1366.18
2025-01-15,1173.86,983.98,1363.74
2025-01-16,1192.09,996.37,1387.81
2025-01-17,1229.03,1027.64,1430.43
2025-01-18,1286.65,1079.74,1493.57
2025-01-19,1267.62,1055.32,1479.91
2025-01-20,1213.74,996.21,1431.28
2025-01-21,1186.77,964.12,1409.42
2025-01-22,1188.55,960.89,1416.21
2025-01-23,1222.84,990.29,1455.4
2025-01-24,1258.28,1020.93,1495.63
2025-01-25,1592.94,1350.89,1834.99
2025-01-26,1572.37,1325.71,1819.03
2025-01-27,1535.83,1284.64,1787.02
2025-01-28,1240.98,985.35,1496.62
2025-01-29,1241.64,981.63,1501.64
